ts,side,usd_notional,cascade
2026-05-07 06:33:55.202,buy,4406.6,0
2026-05-07 06:34:32.175,buy,8161.2,0
2026-05-07 06:34:44.205,buy,2203.8,0
2026-05-07 06:35:00.979,buy,163.28,0
2026-05-07 06:35:01.373,buy,20002.31,0
2026-05-07 06:35:02.421,buy,5634.03,0
2026-05-07 06:35:28.424,buy,1306.81,0
2026-05-07 06:35:28.686,buy,3511.87,0
2026-05-07 06:36:46.593,buy,81.72,0
2026-05-07 06:36:46.665,buy,17404.7,0
2026-05-07 06:36:46.939,buy,408.58,0
2026-05-07 06:43:37.170,buy,163.45,0
2026-05-07 06:43:37.174,buy,163.45,0
2026-05-07 06:43:37.321,buy,4985.43,0
2026-05-07 06:43:56.514,buy,81.73,0
2026-05-07 06:43:57.204,buy,3596.13,0
2026-05-07 06:45:02.608,buy,245.25,0
2026-05-07 06:45:03.056,buy,408.76,0
2026-05-07 06:45:03.227,buy,1471.61,0
2026-05-07 06:45:03.819,buy,4986.87,0
2026-05-07 06:52:11.442,buy,163.43,0
2026-05-07 06:55:02.131,buy,490.55,0
2026-05-07 06:55:02.840,buy,817.61,0
2026-05-07 06:55:02.894,buy,899.36,0
2026-05-07 06:55:11.771,buy,3598.15,0
2026-05-07 06:56:31.924,buy,899.63,0
2026-05-07 06:59:38.522,buy,11452.6,0
2026-05-07 06:59:39.058,buy,245.43,0
2026-05-07 06:59:39.214,buy,2127.06,0
2026-05-07 07:00:28.435,buy,654.51,0
2026-05-07 07:00:28.497,buy,899.95,0
2026-05-07 07:00:29.054,buy,736.34,0
2026-05-07 07:00:35.049,buy,900.02,0
2026-05-07 07:01:04.251,buy,2045.43,0
2026-05-07 07:06:57.047,buy,3109.2,0
2026-05-07 07:07:24.540,buy,81.82,0
2026-05-07 07:07:25.112,buy,245.48,0
2026-05-07 07:07:25.245,buy,409.15,0
2026-05-07 07:07:45.469,buy,2128.35,0
2026-05-07 07:07:45.543,buy,1146.11,0
2026-05-07 07:07:45.936,buy,13016.68,0
2026-05-07 07:07:46.040,buy,409.25,0
2026-05-07 07:07:46.055,buy,1227.92,0
2026-05-07 07:07:46.130,buy,327.36,0
2026-05-07 07:07:46.177,buy,15144.19,0
2026-05-07 07:07:58.744,buy,1719.42,0
2026-05-07 07:08:00.745,buy,1064.68,0
2026-05-07 07:08:43.527,buy,819.07,0
2026-05-07 07:12:24.002,buy,2457.3,0
2026-05-07 07:12:24.365,buy,737.26,0
2026-05-07 07:12:40.126,buy,4096.52,0
2026-05-07 07:12:41.501,buy,4834.07,0
2026-05-07 07:12:41.937,buy,409.68,0
2026-05-07 07:13:37.972,buy,4260.93,0
2026-05-07 07:13:39.857,buy,42445.7,0
2026-05-07 07:13:55.875,buy,2704.77,0
2026-05-07 07:13:56.319,buy,245.88,0
2026-05-07 07:13:57.965,buy,655.66,0
2026-05-07 07:14:01.731,buy,8196.87,0
2026-05-07 07:14:09.070,buy,14919.85,0
2026-05-07 07:14:21.365,buy,12871.97,0
2026-05-07 07:14:21.750,buy,163.97,0
2026-05-07 07:14:21.998,buy,327.97,0
2026-05-07 07:14:23.521,buy,41004.15,0
2026-05-07 07:14:24.434,buy,1394.46,0
2026-05-07 07:14:24.518,buy,21326.03,0
2026-05-07 07:14:24.641,buy,164.06,0
2026-05-07 07:14:24.666,buy,17472.43,0
2026-05-07 07:14:24.811,buy,82.02,0
2026-05-07 07:14:25.336,buy,1979540.72,0
2026-05-07 07:14:26.491,buy,2051.03,0
2026-05-07 07:14:26.650,buy,984.49,0
2026-05-07 07:14:27.270,buy,164079.4,0
2026-05-07 07:15:35.548,buy,5251.55,0
2026-05-07 07:15:35.909,buy,820.48,0
2026-05-07 07:16:29.479,buy,984.37,0
2026-05-07 07:16:46.907,buy,246.2,0
2026-05-07 07:16:51.470,buy,2133.57,0
2026-05-07 07:16:52.937,buy,984.82,0
2026-05-07 07:17:11.863,buy,2544.24,0
2026-05-07 07:56:07.036,sell,48868.21,0
2026-05-07 08:03:45.132,sell,243.37,0
2026-05-07 08:18:52.297,buy,9730.42,0
2026-05-07 08:38:43.654,sell,1293.41,0
