ts,oi
2023-09-28 00:00:00,2327375569
2023-09-29 00:00:00,2533348442
2023-09-30 00:00:00,2378304850
2023-10-01 00:00:00,2430484329
2023-10-02 00:00:00,2447801288
2023-10-03 00:00:00,2425729900
2023-10-04 00:00:00,2405497517
2023-10-05 00:00:00,2499863013
2023-10-06 00:00:00,2509972520
2023-10-07 00:00:00,2625393040
2023-10-08 00:00:00,2540009674
2023-10-09 00:00:00,2569809921
2023-10-10 00:00:00,2504838682
2023-10-11 00:00:00,2546559500
2023-10-12 00:00:00,2635607028
2023-10-13 00:00:00,2594163881
2023-10-14 00:00:00,2612369576
2023-10-15 00:00:00,2642277003
2023-10-16 00:00:00,2647841434
2023-10-17 00:00:00,2537491237
2023-10-18 00:00:00,2588674642
2023-10-19 00:00:00,2447565249
2023-10-20 00:00:00,2695169774
2023-10-21 00:00:00,2682254288
2023-10-22 00:00:00,2880755084
2023-10-23 00:00:00,2791043629
2023-10-24 00:00:00,2931442777
2023-10-25 00:00:00,2873526775
2023-10-26 00:00:00,2893783492
2023-10-27 00:00:00,2895890712
2023-10-28 00:00:00,2864710074
2023-10-29 00:00:00,2887376029
2023-10-30 00:00:00,3040234671
2023-10-31 00:00:00,2993212116
2023-11-01 00:00:00,3058822962
2023-11-02 00:00:00,3076509544
2023-11-03 00:00:00,2844157238
2023-11-04 00:00:00,2827309294
2023-11-05 00:00:00,2930176570
2023-11-06 00:00:00,3014490677
2023-11-07 00:00:00,3019474103
2023-11-08 00:00:00,3143241097
2023-11-09 00:00:00,3220714022
2023-11-10 00:00:00,2919905995
2023-11-11 00:00:00,2979251444
2023-11-12 00:00:00,2986355923
2023-11-13 00:00:00,2998402795
2023-11-14 00:00:00,2935928006
2023-11-15 00:00:00,2802715194
2023-11-16 00:00:00,3147432549
2023-11-17 00:00:00,2927122727
2023-11-18 00:00:00,2852765404
2023-11-19 00:00:00,2904854407
2023-11-20 00:00:00,3023033425
2023-11-21 00:00:00,3123840199
2023-11-22 00:00:00,2848584915
2023-11-23 00:00:00,3025284198
